id,old_filename,result,confidence
full_1200_1,MDZ086.JPG,0086,0.94
full_1200_2,MDZ086_1.JPG,0086,0.92
full_1200_3,MDZ086_2.JPG,0086,0.93
full_1200_4,MDZ087 _1.JPG,0087,0.96
full_1200_5,MDZ087 _10.JPG,0087,0.96
full_1200_6,MDZ087 _11.JPG,0087,0.96
full_1200_7,MDZ087 _12.JPG,0087,0.96
full_1200_8,MDZ087 _2.JPG,0087,0.96
full_1200_9,MDZ087 _3.JPG,0087,0.95
full_1200_10,MDZ087 _4.JPG,0087,0.94
full_1200_11,MDZ087 _5.JPG,0587,0.66
full_1200_12,MDZ087 _6.JPG,0087,0.95
full_1200_13,MDZ087 _7.JPG,0087,0.61
full_1200_14,MDZ087 _8.JPG,0087,0.96
full_1200_15,MDZ087 _9.JPG,0087,0.95
full_1200_16,MDZ087.JPG,0087,0.96
full_1200_17,MDZ087_2.JPG,0087,0.96
full_1200_18,MDZ087_3.JPG,0087,0.96
full_1200_19,MDZ088 _1.JPG,0088,0.97
full_1200_20,MDZ088 _2.JPG,0088,0.96
full_1200_21,MDZ088 _3.JPG,0008,0.23
full_1200_22,MDZ088 _4.JPG,!MDZ088 _4.JPG,0.0
full_1200_23,MDZ088 _5.JPG,0088,0.96
full_1200_24,MDZ088 _6.JPG,!MDZ088 _6.JPG,0.41
full_1200_25,MDZ088 _7.JPG,1212,0.49
full_1200_26,MDZ088.JPG,0088,0.94
full_1200_27,MDZ088_1.JPG,0088,0.95
full_1200_28,MDZ089 _1.JPG,0089,0.95
full_1200_29,MDZ089 _2.JPG,0089,0.96
full_1200_30,MDZ089 _3.JPG,0089,0.94
full_1200_31,MDZ089 _4.JPG,0089,0.95
full_1200_32,MDZ089 _5.JPG,!MDZ089 _5.JPG,0.0
full_1200_33,MDZ089 _6.JPG,!MDZ089 _6.JPG,0.0
full_1200_34,MDZ089 _7.JPG,0089,0.95
full_1200_35,MDZ089 _8.JPG,0089,0.94
full_1200_36,MDZ089.JPG,0089,0.93
full_1200_37,MDZ090 _1.JPG,0090,0.94
full_1200_38,MDZ090 _2.JPG,0090,0.93
full_1200_39,MDZ090 _3.JPG,0090,0.91
full_1200_40,MDZ090 _4.JPG,0090,0.91
full_1200_41,MDZ090 _5.JPG,0090,0.9
full_1200_42,MDZ090 _6.JPG,!MDZ090 _6.JPG,0.0
full_1200_43,MDZ090 _7.JPG,0090,0.93
full_1200_44,MDZ090 _8.JPG,0020,0.7
full_1200_45,MDZ090 _9.JPG,0090,0.93
full_1200_46,MDZ091 _1.JPG,0091,0.86
full_1200_47,MDZ091 _2.JPG,0091,0.92
full_1200_48,MDZ091 _3.JPG,0091,0.95
full_1200_49,MDZ091 _4.JPG,!MDZ091 _4.JPG,0.0
full_1200_50,MDZ091 _5.JPG,!MDZ091 _5.JPG,0.0
full_1200_51,MDZ091 _6.JPG,0091,0.93
full_1200_52,MDZ091 _7.JPG,0091,0.97
full_1200_53,MDZ091 _8.JPG,0007,0.78
full_1200_54,MDZ092 _1.JPG,0092,0.94
full_1200_55,MDZ092 _2.JPG,0092,0.91
full_1200_56,MDZ092 _3.JPG,0092,0.94
full_1200_57,MDZ092 _4.JPG,0092,0.94
full_1200_58,MDZ092 _5.JPG,0092,0.93
full_1200_59,MDZ092 _6.JPG,0092,0.92
full_1200_60,MDZ092 _7.JPG,0092,0.92
full_1200_61,MDZ093 _1.JPG,0093,0.96
full_1200_62,MDZ093 _2.JPG,0093,0.94
full_1200_63,MDZ093 _3.JPG,0093,0.84
full_1200_64,MDZ093 _4.JPG,0093,0.94
full_1200_65,MDZ093 _5.JPG,0093,0.94
full_1200_66,MDZ093 _6.JPG,0093,0.94
full_1200_67,MDZ093 _7.JPG,0093,0.93
full_1200_68,MDZ093 _8.JPG,0093,0.95
full_1200_69,MDZ093 _9.JPG,0093,0.59
full_1200_70,MDZ094 _1.JPG,0094,0.94
full_1200_71,MDZ094 _10.JPG,0094,0.94
full_1200_72,MDZ094 _2.JPG,0094,0.96
full_1200_73,MDZ094 _3.JPG,0094,0.96
full_1200_74,MDZ094 _4.JPG,0094,0.96
full_1200_75,MDZ094 _5.JPG,0094,0.96
full_1200_76,MDZ094 _6.JPG,0094,0.94
full_1200_77,MDZ094 _7.JPG,0094,0.94
full_1200_78,MDZ094 _8.JPG,0094,0.85
full_1200_79,MDZ094 _9.JPG,0094,0.96
full_1200_80,MDZ095 _1.JPG,1212,0.9
full_1200_81,MDZ095 _2.JPG,0095,0.94
full_1200_82,MDZ095 _3.JPG,7125,0.63
full_1200_83,MDZ095_3.JPG,0091,0.76
full_1200_84,MDZ095_4.JPG,0009,0.88
full_1200_85,MDZ095_5.JPG,0095,0.86
full_1200_86,MDZ096 _1.JPG,0012,0.38
full_1200_87,MDZ096 _2.JPG,0096,0.81
full_1200_88,MDZ096 _3.JPG,0096,0.91
full_1200_89,MDZ096 _4.JPG,0096,0.96
full_1200_90,MDZ096 _5.JPG,0096,0.95
full_1200_91,MDZ096 _6.JPG,0096,0.94
full_1200_92,MDZ096 _7.JPG,0096,0.94
full_1200_93,MDZ096 _8.JPG,0096,0.85
full_1200_94,MDZ097 _1.JPG,0097,0.92
full_1200_95,MDZ097 _2.JPG,0097,0.89
full_1200_96,MDZ097 _3.JPG,0097,0.92
full_1200_97,MDZ097_3.JPG,0097,0.5
full_1200_98,MDZ097_4.JPG,0097,0.95
full_1200_99,MDZ098.JPG,0098,0.95
full_1200_100,MDZ098_1.JPG,0098,0.95
full_1200_101,MDZ098_10.JPG,0128,0.85
full_1200_102,MDZ098_2.JPG,0098,0.95
full_1200_103,MDZ098_20.JPG,0098,0.93
full_1200_104,MDZ098_30.JPG,0098,0.89
full_1200_105,MDZ098_40.JPG,0098,0.87
full_1200_106,MDZ099_1.JPG,0099,0.93
full_1200_107,MDZ099_2.JPG,0099,0.94
full_1200_108,MDZ099_3.JPG,0099,0.94
full_1200_109,MDZ099_4.JPG,0099,0.93
full_1200_110,MDZ099_5.JPG,0099,0.86
full_1200_111,MDZ100.JPG,0100,0.88
full_1200_112,MDZ100_1.JPG,0100,0.96
full_1200_113,MDZ100_2.JPG,0100,0.96
full_1200_114,MDZ100_3.JPG,1012,0.89
full_1200_115,MDZ100_4.JPG,0100,0.93
full_1200_116,MDZ100_5.JPG,0100,0.93
full_1200_117,MDZ100_6.JPG,0100,0.92
full_1200_118,MDZ100_7.JPG,0100,0.92
full_1200_119,MDZ101_1.JPG,0101,0.94
full_1200_120,MDZ101_2.JPG,0101,0.95
full_1200_121,MDZ102_1.JPG,0102,0.93
full_1200_122,MDZ102_2.JPG,0102,0.93
full_1200_123,MDZ103_1.JPG,0103,0.92
full_1200_124,MDZ103_2.JPG,0103,0.88
full_1200_125,MDZ103_3.JPG,0103,0.94
full_1200_126,MDZ103_4.JPG,1123,0.7
full_1200_127,MDZ103_5.JPG,0103,0.93
full_1200_128,MDZ103_6.JPG,0103,0.95
full_1200_129,MDZ104_1.JPG,0104,0.91
full_1200_130,MDZ104_2.JPG,0104,0.9
full_1200_131,MDZ104_3.JPG,0104,0.95
full_1200_132,MDZ104_4.JPG,0104,0.95
full_1200_133,MDZ104_5.JPG,0104,0.95
full_1200_134,MDZ104_6.JPG,0104,0.95
full_1200_135,MDZ104_7.JPG,0104,0.95
full_1200_136,MDZ105_1.JPG,0105,0.95
full_1200_137,MDZ105_2.JPG,0105,0.94
full_1200_138,MDZ105_3.JPG,0105,0.93
full_1200_139,MDZ105_4.JPG,0105,0.92
full_1200_140,MDZ105_5.jpeg,!MDZ105_5.jpeg,0.0
full_1200_141,MDZ105_6.jpeg,!MDZ105_6.jpeg,0.0
full_1200_142,MDZ106_1.JPG,0106,0.84
full_1200_143,MDZ106_10.JPG,0106,0.94
full_1200_144,MDZ106_2.JPG,0106,0.94
full_1200_145,MDZ106_3.JPG,0106,0.95
full_1200_146,MDZ106_4.JPG,0106,0.94
full_1200_147,MDZ106_5.JPG,0106,0.93
full_1200_148,MDZ106_6.JPG,0106,0.93
full_1200_149,MDZ106_7.JPG,0106,0.94
full_1200_150,MDZ106_8.JPG,0106,0.95
full_1200_151,MDZ106_9.JPG,0106,0.89
full_1200_152,MDZ107_1.JPG,0107,0.93
full_1200_153,MDZ107_2.JPG,0107,0.94
full_1200_154,MDZ107_3.JPG,0107,0.92
full_1200_155,MDZ107_4.JPG,0107,0.92
full_1200_156,MDZ107_5.JPG,0107,0.94
full_1200_157,MDZ108_1.JPG,0108,0.94
full_1200_158,MDZ108_2.JPG,0108,0.94
full_1200_159,MDZ108_3.JPG,0108,0.95
full_1200_160,MDZ108_4.JPG,0108,0.95
full_1200_161,MDZ108_5.JPG,0108,0.96
full_1200_162,MDZ108_6.JPG,0108,0.95
full_1200_163,MDZ108_7.JPG,0108,0.72
full_1200_164,MDZ108_8.JPG,0108,0.96
full_1200_165,MDZ109_1.JPG,0097,0.88
full_1200_166,MDZ109_2.JPG,0109,0.88
full_1200_167,MDZ109_3.JPG,0109,0.93
full_1200_168,MDZ110_1.JPG,0110,0.94
full_1200_169,MDZ110_2.JPG,0110,0.94
full_1200_170,MDZ110_3.JPG,0110,0.9
full_1200_171,MDZ110_4.JPG,0110,0.93
full_1200_172,MDZ111_1.JPG,0111,0.96
full_1200_173,MDZ111_2.JPG,0111,0.96
full_1200_174,MDZ111_3.JPG,0111,0.96
full_1200_175,MDZ111_4.JPG,0111,0.94
full_1200_176,MDZ112_1.JPG,0112,0.95
full_1200_177,MDZ112_10.JPG,0112,0.93
full_1200_178,MDZ112_11.JPG,0112,0.95
full_1200_179,MDZ112_2.JPG,0112,0.95
full_1200_180,MDZ112_3.JPG,0112,0.95
full_1200_181,MDZ112_4.JPG,0112,0.95
full_1200_182,MDZ112_5.JPG,0112,0.94
full_1200_183,MDZ112_6.JPG,0112,0.96
full_1200_184,MDZ112_7.JPG,0112,0.95
full_1200_185,MDZ112_8.JPG,0112,0.95
full_1200_186,MDZ112_9.JPG,0112,0.94
full_1200_187,MDZ113_1.JPG,0113,0.95
full_1200_188,MDZ113_2.JPG,0113,0.95
full_1200_189,MDZ113_3.JPG,0113,0.97
full_1200_190,MDZ113_4.JPG,0113,0.77
full_1200_191,MDZ113_5.JPG,9113,0.77
full_1200_192,MDZ113_6.JPG,0113,0.93
full_1200_193,MDZ114_1.JPG,0114,0.96
full_1200_194,MDZ114_2.JPG,0114,0.96
full_1200_195,MDZ114_3.JPG,0114,0.97
full_1200_196,MDZ114_4.JPG,0114,0.96
full_1200_197,MDZ114_5.JPG,0114,0.94
full_1200_198,MDZ114_6.JPG,0114,0.97
full_1200_199,MDZ114_7.JPG,0114,0.93
full_1200_200,MDZ114_8.JPG,0114,0.89
full_1200_201,MDZ115_1.JPG,0115,0.96
full_1200_202,MDZ115_2.JPG,0115,0.95
full_1200_203,MDZ115_3.JPG,0115,0.91
full_1200_204,MDZ115_4.JPG,0115,0.9
full_1200_205,MDZ116_1.JPG,0116,0.96
full_1200_206,MDZ116_2.JPG,0116,0.95
full_1200_207,MDZ116_3.JPG,0116,0.97
full_1200_208,MDZ116_4.JPG,0016,0.94
full_1200_209,MDZ117_1.JPG,0117,0.93
full_1200_210,MDZ117_2.JPG,0117,0.95
full_1200_211,MDZ118_1.JPG,0118,0.93
full_1200_212,MDZ118_2.JPG,0118,0.95
full_1200_213,MDZ118_3.JPG,0118,0.92
full_1200_214,MDZ119.JPG,0109,0.81
full_1200_215,MDZ119_1.JPG,9119,0.75
full_1200_216,MDZ119_2.JPG,0119,0.93
full_1200_217,MDZ119_3.JPG,0119,0.93
full_1200_218,MDZ119_4.JPG,0119,0.94
full_1200_219,MDZ119_5.JPG,0119,0.92
full_1200_220,MDZ120_1.JPG,0120,0.93
full_1200_221,MDZ120_2.JPG,0120,0.94
full_1200_222,MDZ120_3.JPG,0120,0.94
full_1200_223,MDZ120_4.JPG,0120,0.91
full_1200_224,MDZ120_5.JPG,0120,0.94
full_1200_225,MDZ120_6.JPG,0120,0.93
full_1200_226,MDZ120_7.JPG,0120,0.94
full_1200_227,MDZ120_8.JPG,0120,0.93
full_1200_228,MDZ121_1.JPG,0121,0.94
full_1200_229,MDZ121_2.JPG,0121,0.94
full_1200_230,MDZ121_3.JPG,0121,0.95
full_1200_231,MDZ121_4.JPG,0121,0.95
full_1200_232,MDZ121_5.jpeg,!MDZ121_5.jpeg,0.0
full_1200_233,MDZ121_5.JPG,!MDZ121_5.JPG,0.5
full_1200_234,MDZ122_1.JPG,0122,0.92
full_1200_235,MDZ122_2.JPG,0122,0.94
full_1200_236,MDZ122_3.JPG,0122,0.95
full_1200_237,MDZ122_4.JPG,0122,0.95
full_1200_238,MDZ123.JPG,0123,0.94
full_1200_239,MDZ124_1.JPG,0124,0.91
full_1200_240,MDZ124_2.JPG,0724,0.62
full_1200_241,MDZ124_3.JPG,1247,0.9
full_1200_242,MDZ124_4.JPG,0124,0.95
full_1200_243,MDZ124_5.JPG,0124,0.89
full_1200_244,MDZ124_6.JPG,0124,0.95
full_1200_245,MDZ124_7.JPG,0124,0.92
full_1200_246,MDZ124_8.JPG,0124,0.95
full_1200_247,MDZ124_9.JPG,0124,0.96
full_1200_248,MDZ125_1.JPG,0125,0.92
full_1200_249,MDZ125_2.JPG,0125,0.9
full_1200_250,MDZ125_3.JPG,0125,0.93
full_1200_251,MDZ125_4.JPG,!MDZ125_4.JPG,0.0
full_1200_252,MDZ125_5.JPG,0125,0.95
full_1200_253,MDZ125_6.JPG,0125,0.95
full_1200_254,MDZ125_7.jpeg,!MDZ125_7.jpeg,0.0
full_1200_255,MDZ125_8.jpeg,!MDZ125_8.jpeg,0.0
full_1200_256,MDZ125_9.jpeg,!MDZ125_9.jpeg,0.0
full_1200_257,MDZ126_1.JPG,0126,0.93
full_1200_258,MDZ126_2.JPG,0126,0.93
full_1200_259,MDZ126_3.JPG,0126,0.96
full_1200_260,MDZ126_4.JPG,0012,0.91
full_1200_261,MDZ126_5.JPG,0016,0.93
full_1200_262,MDZ126_6.JPG,0126,0.94
full_1200_263,MDZ126_7.JPG,0126,0.94
full_1200_264,MDZ127_1.JPG,0127,0.95
full_1200_265,MDZ127_2.JPG,0127,0.95
full_1200_266,MDZ128_1.JPG,0128,0.94
full_1200_267,MDZ128_2.JPG,0128,0.95
full_1200_268,MDZ128_3.JPG,0128,0.93
full_1200_269,MDZ129_1.JPG,0129,0.87
full_1200_270,MDZ129_2.JPG,0129,0.92
full_1200_271,MDZ129_3.JPG,0129,0.92
full_1200_272,MDZ129_4.JPG,0129,0.85
full_1200_273,MDZ130_1.JPG,0130,0.91
full_1200_274,MDZ130_2.JPG,0130,0.95
full_1200_275,MDZ130_3.JPG,0130,0.94
full_1200_276,MDZ130_4.JPG,0730,0.92
full_1200_277,MDZ130_5.jpeg,!MDZ130_5.jpeg,0.0
full_1200_278,MDZ130_6.jpeg,!MDZ130_6.jpeg,0.0
full_1200_279,MDZ130_7.jpeg,!MDZ130_7.jpeg,0.0
full_1200_280,MDZ130_8.jpeg,!MDZ130_8.jpeg,0.0
full_1200_281,MDZ131_1.JPG,0131,0.95
full_1200_282,MDZ131_2.JPG,0131,0.93
full_1200_283,MDZ131_3.JPG,0131,0.95
full_1200_284,MDZ131_4.JPG,0131,0.92
full_1200_285,MDZ132_1.JPG,0132,0.94
full_1200_286,MDZ132_2.JPG,0132,0.95
full_1200_287,MDZ132_3.JPG,0132,0.95
full_1200_288,MDZ132_5.JPG,0132,0.93
full_1200_289,MDZ132_6.JPG,0132,0.92
full_1200_290,MDZ133_1.JPG,0133,0.95
full_1200_291,MDZ133_2.JPG,0133,0.93
full_1200_292,MDZ133_3.JPG,0133,0.95
full_1200_293,MDZ133_4.jpeg,!MDZ133_4.jpeg,0.0
full_1200_294,MDZ134_1.JPG,0134,0.94
full_1200_295,MDZ134_2.JPG,0134,0.91
full_1200_296,MDZ134_3.JPG,0134,0.95
full_1200_297,MDZ134_4.JPG,0134,0.95
full_1200_298,MDZ134_5.JPG,0134,0.95
full_1200_299,MDZ135_1.JPG,0135,0.95
full_1200_300,MDZ135_2.JPG,0135,0.96
full_1200_301,MDZ135_3.JPG,0135,0.96
full_1200_302,MDZ135_4.JPG,0135,0.91
full_1200_303,MDZ136_1.JPG,0136,0.95
full_1200_304,MDZ136_2.JPG,0136,0.94
full_1200_305,MDZ136_3.JPG,0136,0.94
full_1200_306,MDZ136_4.JPG,0136,0.96
full_1200_307,MDZ137_1.JPG,0137,0.94
full_1200_308,MDZ137_2.JPG,0137,0.93
full_1200_309,MDZ137_3.JPG,0137,0.94
full_1200_310,MDZ137_4.JPG,0137,0.93
full_1200_311,MDZ138_1.JPG,0138,0.94
full_1200_312,MDZ138_2.JPG,0138,0.96
full_1200_313,MDZ138_3.JPG,0138,0.96
full_1200_314,MDZ139_1.JPG,0139,0.94
full_1200_315,MDZ139_2.JPG,0139,0.94
full_1200_316,MDZ140.JPG,0140,0.89
full_1200_317,MDZ140_1.JPG,0140,0.88
full_1200_318,MDZ141.JPG,0141,0.94
full_1200_319,MDZ141_1.JPG,0141,0.94
full_1200_320,MDZ142.JPG,0142,0.94
full_1200_321,MDZ143.JPG,0143,0.95
full_1200_322,MDZ143_1.JPG,0143,0.95
full_1200_323,MDZ143_2.JPG,0143,0.95
full_1200_324,MDZ144.JPG,0144,0.9
full_1200_325,MDZ144_1.JPG,0144,0.94
full_1200_326,MDZ144_2.JPG,0144,0.94
full_1200_327,MDZ145.JPG,0145,0.92
full_1200_328,MDZ145_1.JPG,0145,0.93
full_1200_329,MDZ145_2.JPG,0145,0.95
full_1200_330,MDZ145_3.JPG,0145,0.93
full_1200_331,MDZ145_4.JPG,0145,0.96
full_1200_332,MDZ145_5.JPG,0145,0.95
full_1200_333,MDZ146.JPG,0146,0.93
full_1200_334,MDZ146_1.JPG,0146,0.95
full_1200_335,MDZ146_2.JPG,0146,0.93
full_1200_336,MDZ147.JPG,0147,0.94
full_1200_337,MDZ147_1.JPG,0147,0.94
full_1200_338,MDZ147_2.JPG,0147,0.94
full_1200_339,MDZ147_3.JPG,0147,0.92
full_1200_340,MDZ147_4.JPG,0147,0.93
full_1200_341,MDZ148.JPG,0148,0.92
full_1200_342,MDZ148_1.JPG,0148,0.94
full_1200_343,MDZ149.JPG,0149,0.95
full_1200_344,MDZ149_1.JPG,0149,0.96
full_1200_345,MDZ150.JPG,0150,0.93
full_1200_346,MDZ150_1.JPG,0150,0.93
full_1200_347,MDZ150_2.JPG,0150,0.93
full_1200_348,MDZ151.JPG,0151,0.93
full_1200_349,MDZ151_1.JPG,0151,0.95
full_1200_350,MDZ151_2.JPG,0151,0.94
full_1200_351,MDZ152.JPG,0152,0.92
full_1200_352,MDZ152_1.JPG,0152,0.92
full_1200_353,MDZ152_2.JPG,0152,0.9
full_1200_354,MDZ153.JPG,0153,0.95
full_1200_355,MDZ153_1.JPG,0153,0.95
full_1200_356,MDZ154.JPG,0154,0.92
full_1200_357,MDZ154_1.JPG,0154,0.94
full_1200_358,MDZ154_2.JPG,0154,0.91
full_1200_359,MDZ155.JPG,0155,0.91
full_1200_360,MDZ155_1.JPG,0155,0.92
full_1200_361,MDZ155_2.JPG,0155,0.92
full_1200_362,MDZ156.JPG,0156,0.95
full_1200_363,MDZ156_1.JPG,0156,0.89
full_1200_364,MDZ156_2.JPG,0156,0.93
full_1200_365,MDZ157.JPG,0157,0.88
full_1200_366,MDZ157_1.JPG,0157,0.88
full_1200_367,MDZ157_2.JPG,0157,0.86
full_1200_368,MDZ157_3.JPG,0157,0.89
full_1200_369,MDZ158.JPG,0158,0.93
full_1200_370,MDZ158_1.JPG,0158,0.94
full_1200_371,MDZ159.JPG,0159,0.93
